Stc Person Id,Swu Stu Ant Cmpl Dates ,Swu Grad Date ,Stc Term ,Stc Course Name,Internship,CEL Course,SCOPE 300,Scs Location,DC/LN
3341734,21-May,,19/SP,PSC32-114,,Y,,,
3324166,,19-May,19/SP,UST05-302,,Y,,,
2846415,,,18/FA,SPA15-164,,Y,,,
3337215,20-May,,18/FA,SPA15-164,,Y,,,
3350728,22-May,,19/S3,SPA15-154,,,,BA,
3350728,22-May,,19/S3,SPA15-164,,Y,,BA,
3339496,21-May,,18/FA,SPA15-164,,Y,,,
3330389,20-May,,18/FA,UST05-303,,,,DC,Y
3330389,20-May,,18/FA,COM75-304,,,,DC,Y
3330389,20-May,,18/FA,PSC32-948,Y,,,,
3326604,,19-May,18/FA,BUS30-944,Y,,,,
3342855,21-May,,19/S3,UST05-300,,,Y,,
3341205,21-May,,19/SP,EDU40-234,,Y,,,
3273314,,19-Aug,19/S3,PSY33-948,Y,,,,
3342814,21-May,,19/SP,SPA15-164,,Y,,,
3342757,20-Dec,,19/S3,UST05-300,,,Y,,
3349623,20-Dec,,19/S3,ENV49-944,Y,,,,
3345024,,19-Dec,18/FA,MAT52-414,,Y,,,
3345024,,19-Dec,19/SP,SPA15-164,,Y,,,
3348154,21-May,,19/SP,SPA15-164,,Y,,,
3348154,21-May,,19/S3,SPA15-364,,,,GR,
3348154,21-May,,19/S3,SPA15-314,,,,GR,
3341645,21-May,,19/S3,UST05-300,,,Y,,
3341736,21-May,,18/FA,SPA15-164,,Y,,,
3316397,,18-Dec,18/FA,COM75-944,Y,,,,
3316397,,18-Dec,18/FA,COM75-944,Y,,,,
3316397,,18-Dec,18/FA,COM75-944,Y,,,,
3335574,20-May,,19/S3,SPA15-364,,,,GR,
3335574,20-May,,19/S3,SPA15-314,,,,GR,
3350382,22-May,,19/SP,SPA15-164,,Y,,,
3340866,21-May,,19/SP,PSC32-114,,Y,,,
3340866,21-May,,19/SP,SPA15-164,,Y,,,
3340866,21-May,,19/S3,BUS30-584,,,,GR,
3340866,21-May,,19/S3,SPA15-314,,,,GR,
3315693,,18-Dec,18/FA,SPA15-164,,Y,,,
3347569,22-May,,18/FA,EDU40-113,,Y,,,
3338925,21-May,,18/FA,SPA15-164,,Y,,,
3330392,21-May,,18/FA,EDU40-113,,Y,,,
3344244,21-May,,19/SP,THE72-804,,Y,,,
3343448,21-May,,18/FA,SPA15-164,,Y,,,
3343448,21-May,,19/S3,KIN48-942,Y,,,,
3322063,20-May,,19/S3,COM75-303,,,,ECE,
3322063,20-May,,19/S3,PSY33-303,,,,ECE,
3352543,20-May,,19/SP,EDU40-144,,Y,,,
3326605,,19-Aug,19/S2,THE72-304,,Y,,,
3354065,21-May,,19/SP,SPA15-164,,Y,,,
3332999,20-May,,19/S3,KIN48-942,Y,,,,
3332999,20-May,,19/S3,KIN48-942,Y,,,,
3333311,,19-Dec,19/SP,THE72-804,,Y,,,
3321735,,19-May,18/FA,MAT52-414,,Y,,,
3340152,21-May,,19/SP,SPA15-164,,Y,,,
3324171,20-May,,18/FA,BUS30-394,,,,LN,Y
3324171,20-May,,18/FA,BUS30-584,,,,LN,Y
3324171,20-May,,18/FA,UST05-224,,,,LN,Y
3324171,20-May,,18/FA,BUS30-944,Y,,,,
3322999,,19-May,19/SP,ENV49-944,Y,,,,
3332897,20-May,,19/SP,ANT35-944,Y,,,,
3346729,22-May,,19/SP,SPA15-164,,Y,,,
3350016,22-May,,19/S3,UST05-300,,,Y,,
3324022,,19-May,19/SP,PSY33-948,Y,,,,
3351942,22-May,,18/FA,PSC32-114,,Y,,,
3340390,21-May,,18/FA,SPA15-164,,Y,,,
3332644,20-Dec,,19/SP,SPA15-164,,Y,,,
3332650,,18-Dec,18/FA,EDU40-944,Y,,,,
3333621,20-May,,18/FA,COM75-942,Y,,,,
3332300,20-Aug,,18/FA,EDU40-113,,Y,,,
3332300,20-Aug,,19/SP,EDU40-144,,Y,,,
3341523,21-May,,19/SP,PSC32-114,,Y,,,
3341523,21-May,,19/S3,BUS30-584,,,,GR,
3341523,21-May,,19/S3,SPA15-314,,,,GR,
3348713,22-May,,19/S3,UST05-300,,,Y,,
3332311,20-May,,19/S3,UST05-300,,,Y,,
3351820,22-May,,18/FA,EDU40-113,,Y,,,
3351820,22-May,,19/SP,EDU40-144,,Y,,,
3325375,,19-May,19/SP,KIN48-944,Y,,,,
3332925,20-May,,19/S3,ART68-941,Y,,,,
3350800,22-May,,19/S3,UST05-300,,,Y,,
3340886,21-May,,18/FA,BUS30-584,,,,LN,Y
3340886,21-May,,18/FA,SPA15-304,,,,LN,Y
3340886,21-May,,18/FA,THE72-114,,,,LN,Y
3340886,21-May,,18/FA,UST05-224,,,,LN,Y
3323198,,19-May,19/SP,PSY33-948,Y,,,,
3348722,22-May,,19/SP,SPA15-164,,Y,,,
3340013,21-May,,19/S3,SPA15-364,,,,GR,
3340013,21-May,,19/S3,SPA15-314,,,,GR,
3320262,,19-May,18/FA,BUS30-944,Y,,,,
3344524,21-May,,18/FA,SPA15-164,,Y,,,
3340698,21-May,,18/FA,EDU40-234,,Y,,,
3335907,,19-May,18/FA,COM75-944,Y,,,,
2898678,22-May,,19/SP,EDU40-234,,Y,,,
2898678,22-May,,19/S3,UST05-300,,,Y,,
3335790,20-May,,19/S3,UST05-300,,,Y,,
3350312,,,19/SP,PSC32-114,,Y,,,
3327001,,19-May,18/FA,KIN48-944,Y,,,,
3327001,,19-May,19/SP,KIN48-944,Y,,,,
2885860,20-May,,19/S3,UST05-300,,,Y,,
3340316,21-May,,18/FA,EDU40-234,,Y,,,
3340316,21-May,,18/FA,EDU40-113,,Y,,,
3340316,21-May,,19/SP,EDU40-144,,Y,,,
3313322,,,18/FA,SPA15-164,,Y,,,
3343386,21-May,,18/FA,SPA15-164,,Y,,,
3331045,20-May,,18/FA,CSC54-414,,Y,,,
3334726,20-May,,19/SP,SPA15-164,,Y,,,
3334726,20-May,,19/S3,BUS30-944,Y,,,,
3348083,21-May,,19/S3,COM75-303,,,,ECE,
3348083,21-May,,19/S3,PSY33-303,,,,ECE,
3322422,,19-May,19/SP,ARH71-942,Y,,,,
3339165,20-Aug,,18/FA,MAT52-414,,Y,,,
3352771,20-May,,19/SP,SPA15-164,,Y,,,
3343710,21-May,,19/S3,UST05-300,,,Y,,
3350247,22-May,,18/FA,EDU40-113,,Y,,,
3329342,,19-May,19/SP,THE72-804,,Y,,,
3352203,22-May,,18/FA,PSC32-114,,Y,,,
3331399,20-May,,19/SP,SPA15-164,,Y,,,
3340475,,,19/SP,SPA15-164,,Y,,,
3345075,,,18/FA,MAT52-414,,Y,,,
3351222,22-May,,19/SP,SPA15-164,,Y,,,
3331050,20-May,,19/S3,COM75-303,,,,ECE,
3331050,20-May,,19/S3,PSY33-303,,,,ECE,
3324291,,19-May,18/FA,COM75-944,Y,,,,
3324291,,19-May,19/SP,SPA15-164,,Y,,,
3323156,,19-Aug,19/SP,SPA15-164,,Y,,,
3327176,20-May,,18/FA,MAT52-414,,Y,,,
3335401,,19-May,19/SP,PSC32-304,,,,DC,Y
3335401,,19-May,19/SP,UST05-303,,,,DC,Y
3335401,,19-May,19/SP,PSC32-948,Y,,,,
3338556,,,19/SP,PSC32-114,,Y,,,
3340418,20-May,,18/FA,CSC54-414,,Y,,,
3342753,21-May,,19/SP,ENV49-944,Y,,,,
3349143,22-May,,18/FA,PSC32-114,,Y,,,
3317605,,18-Dec,18/FA,PSC32-114,,Y,,,
3324098,,19-Aug,18/FA,SPA15-164,,Y,,,
3343177,,,18/FA,PSC32-114,,Y,,,
3332532,20-May,,18/FA,PSC32-114,,Y,,,
3347488,22-May,,18/FA,EDU40-113,,Y,,,
3347488,22-May,,19/SP,EDU40-144,,Y,,,
3338787,20-Dec,,18/FA,BUS30-943,Y,,,,
3338787,20-Dec,,19/SP,SPA15-164,,Y,,,
3331742,20-May,,19/SP,EDU40-144,,Y,,,
3331742,20-May,,19/S3,PSY33-944,Y,,,,
3340393,21-May,,19/SP,SPA15-164,,Y,,,
3340937,20-Dec,,18/FA,SPA15-164,,Y,,,
3337087,20-May,,18/FA,SPA15-164,,Y,,,
3333210,20-May,,18/FA,SPA15-164,,Y,,,
3333210,20-May,,19/S3,PSY33-948,Y,,,,
3331716,20-May,,18/FA,PSC32-944,Y,,,,
3331716,20-May,,19/S3,BUS30-584,,,,GR,
3331716,20-May,,19/S3,SPA15-314,,,,GR,
3341424,21-May,,19/SP,SPA15-164,,Y,,,
3334912,20-May,,19/SP,PSC32-114,,Y,,,
3334912,20-May,,19/S3,COM75-303,,,,ECE,
3334912,20-May,,19/S3,PSY33-303,,,,ECE,
3341731,21-May,,19/SP,SPA15-164,,Y,,,
3341399,21-May,,18/FA,EDU40-234,,Y,,,
3341399,21-May,,18/FA,SPA15-164,,Y,,,
3340644,21-May,,19/SP,EDU40-144,,Y,,,
3349849,,,18/FA,PSC32-114,,Y,,,
3349359,20-May,,19/S3,SPA15-154,,,,BA,
3349359,20-May,,19/S3,SPA15-164,,Y,,BA,
3333289,20-May,,18/FA,SPA15-734,,Y,,,
3333289,20-May,,19/SP,EDU40-264,,Y,,,
3333289,20-May,,19/S3,BUS30-584,,,,GR,
3333289,20-May,,19/S3,SPA15-314,,,,GR,
3340681,21-May,,19/SP,SPA15-164,,Y,,,
3340681,21-May,,19/S3,COM75-303,,,,ECE,
3340681,21-May,,19/S3,PSY33-303,,,,ECE,
3348006,21-May,,19/S3,UST05-300,,,Y,,
3323200,,19-May,18/FA,ECO31-943,Y,,,,
3333166,20-May,,19/S3,PSY33-303,,,,ECE,
3333166,20-May,,19/S3,COM75-303,,,,ECE,
3326972,,19-May,18/FA,BUS30-584,,,,LN,Y
3326972,,19-May,18/FA,UST05-224,,,,LN,Y
3326972,,19-May,18/FA,BUS30-944,Y,,,,
3326972,,19-May,18/FA,ENG10-304,,,,LN,Y
3346168,20-May,,19/S3,BUS30-944,Y,,,,
3349867,22-May,,19/SP,SPA15-164,,Y,,,
3330398,20-May,,19/S3,UST05-300,,,Y,,
3353238,21-May,,19/SP,SPA15-164,,Y,,,
3353238,21-May,,19/SP,KIN48-944,Y,,,,
3342856,,,18/FA,SPA15-164,,Y,,,
3324302,,19-May,19/SP,UST05-302,,Y,,,
3341552,21-May,,19/S3,COM75-303,,,,ECE,
3341552,21-May,,19/S3,PSY33-303,,,,ECE,
3353240,,,19/SP,PSC32-114,,Y,,,
3333645,20-May,,18/FA,BUS30-943,Y,,,,
3333645,20-May,,19/SP,BUS30-944,Y,,,,
3350082,22-May,,19/S3,SPA15-154,,,,BA,
3350082,22-May,,19/S3,SPA15-164,,Y,,BA,
3349346,20-Aug,,18/FA,SPA15-734,,Y,,,
3349346,20-Aug,,19/SP,EDU40-264,,Y,,,
3354450,20-Dec,,19/SP,SPA15-164,,Y,,,
3304531,,19-May,18/FA,EDU40-234,,Y,,,
3323478,,19-Dec,19/S3,BUS30-944,Y,,,,
3283183,,19-May,19/SP,THE72-804,,Y,,,
3347699,22-May,,19/SP,SPA15-164,,Y,,,
3348374,,,19/SP,PSC32-114,,Y,,,
3333813,20-May,,19/SP,ARH71-942,Y,,,,
3342676,21-May,,19/S3,COM75-303,,,,ECE,
3342676,21-May,,19/S3,PSY33-303,,,,ECE,
3342030,21-May,,19/SP,EDU40-234,,Y,,,
3335238,20-May,,18/FA,KIN48-942,Y,,,,
3335238,20-May,,19/SP,KIN48-944,Y,,,,
3334674,20-May,,18/FA,COM75-304,,,,LN,Y
3334674,20-May,,18/FA,ENG10-304,,,,LN,Y
3334674,20-May,,18/FA,UST05-224,,,,LN,Y
3334674,20-May,,18/FA,BUS30-394,,,,LN,Y
3334674,20-May,,19/S3,COM75-303,,,,ECE,
3334674,20-May,,19/S3,PSY33-303,,,,ECE,
3340352,21-May,,19/SP,PSC32-114,,Y,,,
3330403,20-May,,19/SP,ENV49-943,Y,,,,
2909848,21-May,,18/FA,SPA15-164,,Y,,,
3347369,22-May,,18/FA,SPA15-734,,Y,,,
3347369,22-May,,19/SP,PSC32-114,,Y,,,
3333161,20-May,,19/S3,BUS30-944,Y,,,,
3331135,20-May,,18/FA,EDU40-514,,Y,,,
3331135,20-May,,19/SP,EDU40-524,,Y,,,
3351860,22-May,,19/SP,PSC32-114,,Y,,,
3330405,20-May,,18/FA,EDU40-514,,Y,,,
3330405,20-May,,19/SP,EDU40-524,,Y,,,
3359126,21-May,,19/S2,SPA15-164,,Y,,,
3330732,,19-Dec,19/S3,COM75-303,,,,ECE,
3330732,,19-Dec,19/S3,PSY33-303,,,,ECE,
3330732,,19-Dec,19/S3,UST05-300,,,Y,,
3351759,22-May,,19/SP,PSC32-114,,Y,,,
3352163,22-May,,19/SP,SPA15-164,,Y,,,
3326933,,,18/FA,EDU40-944,Y,,,,
3326933,,,18/FA,EDU40-943,Y,,,,
3309557,,19-Aug,18/FA,CSC54-414,,Y,,,
3350864,22-May,,19/SP,PSC32-114,,Y,,,
3321359,,19-Aug,19/S3,PSC32-941,Y,,,,
3321359,,19-Aug,19/S3,PSC32-944,Y,,,,
3348759,22-May,,19/SP,PSC32-114,,Y,,,
3325142,,19-May,18/FA,EDU40-234,,Y,,,
3323338,,19-May,18/FA,BUS30-394,,,,LN,Y
3323338,,19-May,18/FA,BUS30-584,,,,LN,Y
3323338,,19-May,18/FA,COM75-304,,,,LN,Y
3323338,,19-May,18/FA,UST05-224,,,,LN,Y
3339217,21-May,,18/FA,SPA15-164,,Y,,,
3339217,21-May,,19/S3,SPA15-364,,,,GR,
3339217,21-May,,19/S3,SPA15-314,,,,GR,
3327496,,19-May,18/FA,SPA15-734,,Y,,,
3331984,20-May,,18/FA,MAT52-414,,Y,,,
3343490,21-May,,19/SP,SPA15-164,,Y,,,
2847870,,19-May,19/SP,PSY33-948,Y,,,,
3339489,21-May,,19/S3,COM75-303,,,,ECE,
3339489,21-May,,19/S3,PSY33-303,,,,ECE,
